archetype,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
innocent,0.536281160566168,0.53280075585743,0.47143322500600016,0.44735145186085407,0.48515856956943315,0.5034661704627079,0.5343160147317388,0.5657111387687227,0.4553313464733734,0.5168660990672002,0.3788507110991373,0.5614904557531122
orphan,0.43015687644847106,0.527066628476371,0.41401178215492607,0.4971059524338843,0.4652527281122094,0.4805536400363753,0.42007668895022376,0.46698415238262636,0.518883998515709,0.4840943885562616,0.4323384640862458,0.5178280229406792
warrior,0.5399995007123298,0.5860706940686888,0.42287126765091854,0.5843367669750072,0.612712623885208,0.5028514488117926,0.5033727276070706,0.5433700285219579,0.5489650558467357,0.5732242358516071,0.4939025302181363,0.6121626582508042
caregiver,0.36871024577681344,0.31206017499252636,0.29680449150279153,0.40274237334065577,0.3062139684413941,0.20288413777525036,0.3938118546334102,0.2923996816366722,0.431943121324944,0.28147772140874866,0.3002544315344076,0.2876884817975139
seeker,0.3293306232020638,0.4178522144038016,0.2669241741621132,0.22842173147834913,0.30110264322831154,0.34001928270855486,0.2564005812684127,0.33173080835433816,0.3721154951761379,0.30444320446604795,0.23497034991870488,0.25051369158971293
lover,0.42574400780858623,0.5776712684261831,0.48220954860846293,0.37168032186505257,0.4836018382348861,0.4447848063854161,0.5881070042771702,0.5302228544791617,0.46370829770263466,0.44399816432665207,0.36593467623323933,0.5952244576114306
destroyer,0.4232101655602862,0.43290749771393816,0.3552753934285636,0.36734217653036066,0.44260739369170127,0.5097702567716312,0.30687993439728467,0.3668429554254132,0.47342408288190446,0.35812450345879027,0.38890034126655343,0.454559358688701
creator,0.4687726402412564,0.5925628762390016,0.4249160546264939,0.46078614025358183,0.44832520030167666,0.3312925429597504,0.4889376824264338,0.6104783134011122,0.5471913992877937,0.44352624326473405,0.2786018214020119,0.5705440886388587
ruler,0.3509889042399724,0.717936852721728,0.3613938470762822,0.5644950627230598,0.5646853842307421,0.45986472901821357,0.36664761019454895,0.4774200269930045,0.6090874689158784,0.6605701767124932,0.4451829793670819,0.48004787776348884
magician,0.4234220640695453,0.6021498656589117,0.40087529678716827,0.5048528993470695,0.5459115355053811,0.5406323842875314,0.4543259577449413,0.5074335582909895,0.5074023122947474,0.46421329617427415,0.5475020416203826,0.5993018041686184
sage,0.5105329338454832,0.6530431753246095,0.42461841542382395,0.5492232457147249,0.4413926796235842,0.49384888774325275,0.3984624571887062,0.4729232142075935,0.6437125784385735,0.6097243376070619,0.38209811763058715,0.3955560993862648
jester,0.3981272771954585,0.5575134410810889,0.4904342179907101,0.5223817834539981,0.6026862417750275,0.4503668427492363,0.3807469337945864,0.47131129800312604,0.6156991312983232,0.582040173049047,0.45414183079154696,0.4734905106986988
