archetype,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
market_bull,0.4793262812951419,0.6473055660596341,0.46124115351497486,0.6345732524813457,0.40602409768481257,0.5684318183686917,0.40454544532791764,0.6510102782753953,0.6299209613105956,0.5593106376281296,0.4415159934773628,0.60397562070986
market_bear,0.3713551788095833,0.48119754026593803,0.5167076102309455,0.5009182651376137,0.48783136684427353,0.4763706425505218,0.42542929389191547,0.3899219005241749,0.5892106621962616,0.4873483234752807,0.4336860798132667,0.5570000826344883
stocks,0.47553674782478256,0.5220265167239236,0.45663090242769433,0.6724451133328316,0.3708785191887941,0.4922393931515753,0.3374573405025863,0.6189826715919152,0.6381468281862952,0.40230617325107704,0.5133192137212809,0.5044614266551245
forex,0.41549041184669966,0.507957004189365,0.42652686274072704,0.5852493657236314,0.459471620935716,0.5205095309318656,0.40776622770645266,0.5453775495896349,0.5463685280671382,0.4234316630145981,0.5474032440699504,0.5195139463612425
commodities,0.3938843493796458,0.5322912409726904,0.41111689292842835,0.46355706402203195,0.6546699430817754,0.44548896697933826,0.5591870785586283,0.4347488711212104,0.46412158957446403,0.5618746717399221,0.4926479964689489,0.6091772644112231
gold,0.3691612752457146,0.534559905619646,0.42534644859571497,0.470140465479496,0.4297262020008811,0.45909638273583264,0.3413323818108395,0.4953788209734177,0.4610977265441099,0.5668319173112051,0.4694638123162816,0.39186716568495294
oil,0.6005218331758807,0.6075490373923423,0.31046543900812285,0.6625749809049613,0.6486788115600042,0.5768944863240274,0.38867842510802747,0.5497040485093734,0.5846347635359156,0.5718325437739636,0.5642484238834168,0.5125828066603051
bonds,0.44606152175629926,0.39042105091583984,0.4977105490477411,0.5101749044814038,0.49179398175125416,0.4463247762590621,0.35151152995702056,0.4273952782998963,0.626862620147671,0.36451271571735466,0.5084117734120197,0.5472772094933521
real_estate,0.3353374328661822,0.5784528954970487,0.5816599254516086,0.436197413408319,0.3920077506046454,0.5488628256178949,0.4693793315424475,0.4607623185756334,0.5947821144497083,0.4566580773785351,0.4951801575340026,0.44393573810727555
